      5.3772682726 a         1     0     1     1     1
     13.1596667878 a         2     0     1     1     2
     -0.0874007665 a         3     0     1     1     3
      1.9508939284 a         4     0     1     1     4
     -1.2664373564 a         5     0     1     1     5
      6.4582902459 a         6     0     1     1     6
     -2.8444709551 a         7     0     1     1     7
     -3.0139325228 a         8     0     1     1     8
      7.4582985700 a         9     0     1     1     9
     -6.3467202579 a        10     0     1     1    10
     11.7180041492 a        11     0     1     1    11
     -5.4552517889 a        12     0     1     1    12
     -4.8688220423 a        13     0     1     1    13
      1.6290454815 a        14     0     1     1    14
     -2.3013604966 a        15     0     1     1    15
     -3.7167170313 a        16     0     1     1    16
      7.5272747527 a        17     0     1     1    17
     -1.8562262738 a        18     0     1     1    18
      5.1410732289 a        19     0     1     1    19
      4.5692888906 a        20     0     1     1    20
     -1.5902711996 a        21     0     1     1    21
     -2.5107587016 a        22     0     1     1    22
     -3.0820041908 a        23     0     1     1    23
     -1.2970986754 a        24     0     1     1    24
     -0.4715280328 a        25     0     1     1    25
      5.3500327968 a        26     0     2     1     1
    -10.7308051438 a        27     0     2     1     2
      5.5668500335 a        28     0     2     1     3
     10.0649312471 a        29     0     2     1     4
     -1.9155979780 a        30     0     2     1     5
      3.1825422716 a        31     0     2     1     6
      2.2870264180 a        32     0     2     1     7
     -4.1698588854 a        33     0     2     1     8
      3.5193681098 a        34     0     2     1     9
     -2.0263437651 a        35     0     2     1    10
    -11.8772082708 a        36     0     2     1    11
      4.2257908854 a        37     0     2     1    12
     -6.8710973333 a        38     0     2     1    13
     -9.6590491416 a        39     0     2     1    14
     -0.8974758289 a        40     0     2     1    15
      3.7157876908 a        41     0     2     1    16
      5.9329720313 a        42     0     2     1    17
     -1.8828954525 a        43     0     2     1    18
    -11.5998427211 a        44     0     2     1    19
     -0.2397507431 a        45     0     2     1    20
      0.8465067868 a        46     0     2     1    21
      1.8570633780 a        47     0     2     1    22
     -2.9931993233 a        48     0     2     1    23
      3.7884252812 a        49     0     2     1    24
     12.3782895139 a        50     0     2     1    25
     -9.0418372309 a        51     0     3     1     1
     13.8236368038 a        52     0     3     1     2
     -0.0753039389 a        53     0     3     1     3
     -7.3052111529 a        54     0     3     1     4
     -8.4646434120 a        55     0     3     1     5
     10.0504556470 a        56     0     3     1     6
     -0.6706219173 a        57     0     3     1     7
     -4.8925750256 a        58     0     3     1     8
     -2.9354705206 a        59     0     3     1     9
      6.7484235890 a        60     0     3     1    10
     12.1141611074 a        61     0     3     1    11
     -8.7665403295 a        62     0     3     1    12
      5.0011951318 a        63     0     3     1    13
      6.6182154810 a        64     0     3     1    14
      3.6443448451 a        65     0     3     1    15
     -3.1856561135 a        66     0     3     1    16
      6.2241661523 a        67     0     3     1    17
     -2.3666493174 a        68     0     3     1    18
      5.4754245083 a        69     0     3     1    19
      5.6225827472 a        70     0     3     1    20
      0.7960500280 a        71     0     3     1    21
     -2.9590950598 a        72     0     3     1    22
     -0.2701991782 a        73     0     3     1    23
     -5.2137539245 a        74     0     3     1    24
     -1.7253879899 a        75     0     3     1    25
     -1.3980136265 a        76     0     4     1     1
    -12.2892691193 a        77     0     4     1     2
      6.4290717034 a        78     0     4     1     3
     -5.5903049803 a        79     0     4     1     4
     10.4915244771 a        80     0     4     1     5
      3.1171729867 a        81     0     4     1     6
      4.9305077675 a        82     0     4     1     7
     -9.7885919220 a        83     0     4     1     8
      8.4102255342 a        84     0     4     1     9
      5.5054754955 a        85     0     4     1    10
     -1.8554862056 a        86     0     4     1    11
    -11.7141562013 a        87     0     4     1    12
     -7.4215511532 a        88     0     4     1    13
     -9.2071754624 a        89     0     4     1    14
      4.3821179356 a        90     0     4     1    15
     -3.5801850132 a        91     0     4     1    16
     -1.1294795783 a        92     0     4     1    17
      8.8813122442 a        93     0     4     1    18
     -4.0175078952 a        94     0     4     1    19
     -2.1663452917 a        95     0     4     1    20
      2.7339162686 a        96     0     4     1    21
      7.5935642745 a        97     0     4     1    22
     -1.7301644685 a        98     0     4     1    23
    -10.5092250737 a        99     0     4     1    24
     13.8315975634 a       100     0     4     1    25
     -6.6231199323 a       101     0     5     1     1
      4.2459276540 a       102     0     5     1     2
      1.1249966532 a       103     0     5     1     3
    -11.3124341359 a       104     0     5     1     4
     -4.8033965019 a       105     0     5     1     5
     11.0247726610 a       106     0     5     1     6
      1.7008492041 a       107     0     5     1     7
     -6.3955890907 a       108     0     5     1     8
     -5.5594437243 a       109     0     5     1     9
     11.5548718319 a       110     0     5     1    10
     10.9590250414 a       111     0     5     1    11
     -8.6710894875 a       112     0     5     1    12
      5.4463420728 a       113     0     5     1    13
      7.0012436431 a       114     0     5     1    14
      5.2177340400 a       115     0     5     1    15
     -3.4546826729 a       116     0     5     1    16
      3.4472978996 a       117     0     5     1    17
      0.3405663137 a       118     0     5     1    18
      4.4777138466 a       119     0     5     1    19
      3.9075277139 a       120     0     5     1    20
      1.6503525271 a       121     0     5     1    21
      0.7795578577 a       122     0     5     1    22
      2.9835803099 a       123     0     5     1    23
    -10.3464061209 a       124     0     5     1    24
     -5.0844356657 a       125     0     5     1    25
     -7.7082752602 a       126     0     6     1     1
      2.0714071447 a       127     0     6     1     2
      3.6877642220 a       128     0     6     1     3
      4.1520775408 a       129     0     6     1     4
     -1.7408729666 a       130     0     6     1     5
      6.9173377373 a       131     0     6     1     6
      3.8781931641 a       132     0     6     1     7
     -8.8799839662 a       133     0     6     1     8
      3.6168068373 a       134     0     6     1     9
      5.9066995185 a       135     0     6     1    10
     -1.6870050932 a       136     0     6     1    11
    -12.3096731006 a       137     0     6     1    12
     -1.8983472119 a       138     0     6     1    13
     -4.0014228583 a       139     0     6     1    14
      4.3179637337 a       140     0     6     1    15
     -2.8855347867 a       141     0     6     1    16
      0.7757537466 a       142     0     6     1    17
      0.9024045530 a       143     0     6     1    18
     -0.9242098618 a       144     0     6     1    19
      0.9751932342 a       145     0     6     1    20
      0.2688467181 a       146     0     6     1    21
     -1.2099903054 a       147     0     6     1    22
     -1.3667910780 a       148     0     6     1    23
     -3.6020357522 a       149     0     6     1    24
     18.9358835325 a       150     0     6     1    25
      5.8246495320 a       151     0     7     1     1
      3.7127775814 a       152     0     7     1     2
     -0.9091710096 a       153     0     7     1     3
     -2.7360643678 a       154     0     7     1     4
     -2.6597289260 a       155     0     7     1     5
      8.2280831335 a       156     0     7     1     6
      2.0543154706 a       157     0     7     1     7
     -3.4527806286 a       158     0     7     1     8
     -1.8443447143 a       159     0     7     1     9
      7.9652447479 a       160     0     7     1    10
      8.0398484182 a       161     0     7     1    11
     -4.8826602425 a       162     0     7     1    12
      3.0055207472 a       163     0     7     1    13
      3.2619892103 a       164     0     7     1    14
      2.3193522740 a       165     0     7     1    15
     -0.8938927087 a       166     0     7     1    16
     -0.3928379912 a       167     0     7     1    17
     -1.8995936504 a       168     0     7     1    18
      4.1894648129 a       169     0     7     1    19
      2.3324926507 a       170     0     7     1    20
      1.3749724340 a       171     0     7     1    21
      2.8608861349 a       172     0     7     1    22
      1.6412587988 a       173     0     7     1    23
     -4.7016372470 a       174     0     7     1    24
     -2.6976095110 a       175     0     7     1    25
     -7.7364917044 a       176     0     8     1     1
      2.6367327215 a       177     0     8     1     2
      3.0221390042 a       178     0     8     1     3
      8.3066011720 a       179     0     8     1     4
     -7.5580050335 a       180     0     8     1     5
      7.0010756558 a       181     0     8     1     6
      3.6427860526 a       182     0     8     1     7
     -7.0065120890 a       183     0     8     1     8
      1.0698739683 a       184     0     8     1     9
      3.1096342438 a       185     0     8     1    10
     -2.6486403118 a       186     0     8     1    11
     -8.3676091832 a       187     0     8     1    12
      1.9426651772 a       188     0     8     1    13
     -0.9283751954 a       189     0     8     1    14
      2.9810698847 a       190     0     8     1    15
     -1.8165600184 a       191     0     8     1    16
      3.4821496891 a       192     0     8     1    17
     -4.0243823241 a       193     0     8     1    18
      0.7840820396 a       194     0     8     1    19
      2.2706756565 a       195     0     8     1    20
     -0.1947151371 a       196     0     8     1    21
     -4.1121010830 a       197     0     8     1    22
     -2.5345958154 a       198     0     8     1    23
      2.5959349945 a       199     0     8     1    24
     17.0615971404 a       200     0     8     1    25
     14.0749852409 a       201     0     9     1     1
      9.9116180436 a       202     0     9     1     2
     -3.7856442916 a       203     0     9     1     3
      8.2887192439 a       204     0     9     1     4
     -3.7217412303 a       205     0     9     1     5
      0.3942879438 a       206     0     9     1     6
     -3.3570028737 a       207     0     9     1     7
      2.2026734750 a       208     0     9     1     8
      3.9122325174 a       209     0     9     1     9
     -8.3349121852 a       210     0     9     1    10
      5.4173369557 a       211     0     9     1    11
      3.6954790556 a       212     0     9     1    12
     -2.0944950678 a       213     0     9     1    13
      2.2088870005 a       214     0     9     1    14
     -4.2063060976 a       215     0     9     1    15
     -0.2137580213 a       216     0     9     1    16
     -2.7765127215 a       217     0     9     1    17
     -8.5882657028 a       218     0     9     1    18
      1.7422988661 a       219     0     9     1    19
      3.1716043249 a       220     0     9     1    20
      4.4282341563 a       221     0     9     1    21
      1.3585333354 a       222     0     9     1    22
      0.2754186013 a       223     0     9     1    23
      7.6034917380 a       224     0     9     1    24
      1.2973612898 a       225     0     9     1    25
      3.0248176647 a       226     0    10     1     1
    -13.3087226823 a       227     0    10     1     2
      6.0430339915 a       228     0    10     1     3
      0.6854705797 a       229     0    10     1     4
      1.6965823607 a       230     0    10     1     5
     -4.0611595121 a       231     0    10     1     6
      5.3729569042 a       232     0    10     1     7
     -3.9788119891 a       233     0    10     1     8
      2.4061657900 a       234     0    10     1     9
     -0.5576693189 a       235     0    10     1    10
      1.6368714974 a       236     0    10     1    11
     -2.9631056960 a       237     0    10     1    12
      0.3629069184 a       238     0    10     1    13
     -2.6344386965 a       239     0    10     1    14
      3.4211065762 a       240     0    10     1    15
      2.3417204914 a       241     0    10     1    16
      3.1265837382 a       242     0    10     1    17
      2.3258452777 a       243     0    10     1    18
     -0.9981774256 a       244     0    10     1    19
     -0.2952700281 a       245     0    10     1    20
     -1.2953452403 a       246     0    10     1    21
      2.5998038983 a       247     0    10     1    22
     -4.2486736740 a       248     0    10     1    23
     -0.2371401866 a       249     0    10     1    24
      4.9547853647 a       250     0    10     1    25
      9.4456299384 a       251     0    11     1     1
      6.8699543509 a       252     0    11     1     2
     -1.2533978073 a       253     0    11     1     3
     -1.0672039163 a       254     0    11     1     4
      3.4272714175 a       255     0    11     1     5
     -9.1588790907 a       256     0    11     1     6
     -2.8642769914 a       257     0    11     1     7
      5.6646056436 a       258     0    11     1     8
     13.8353358129 a       259     0    11     1     9
    -21.3061227960 a       260     0    11     1    10
     10.1993075778 a       261     0    11     1    11
     -0.2147833034 a       262     0    11     1    12
     -1.5456822321 a       263     0    11     1    13
      1.7741058064 a       264     0    11     1    14
     -4.4262587327 a       265     0    11     1    15
     -1.3530503391 a       266     0    11     1    16
     -7.7705845376 a       267     0    11     1    17
     -5.1452767561 a       268     0    11     1    18
      1.9514140340 a       269     0    11     1    19
      1.8744056623 a       270     0    11     1    20
      5.8806578632 a       271     0    11     1    21
      4.2596906762 a       272     0    11     1    22
     -1.1701108425 a       273     0    11     1    23
      5.0494190466 a       274     0    11     1    24
     -1.5772315200 a       275     0    11     1    25
      7.2688179222 a       276     0    12     1     1
     -6.9048357695 a       277     0    12     1     2
      3.1089817824 a       278     0    12     1     3
     12.5853565868 a       279     0    12     1     4
     -3.6626484675 a       280     0    12     1     5
     -6.4262592053 a       281     0    12     1     6
      2.7502364480 a       282     0    12     1     7
      3.7419669578 a       283     0    12     1     8
     -1.2238638803 a       284     0    12     1     9
     -3.0015852308 a       285     0    12     1    10
     -2.8858330842 a       286     0    12     1    11
      6.8843572308 a       287     0    12     1    12
      0.5729725666 a       288     0    12     1    13
      2.6325977551 a       289     0    12     1    14
     -2.7298328091 a       290     0    12     1    15
      6.2939237798 a       291     0    12     1    16
      3.8906238383 a       292     0    12     1    17
     -2.6520881670 a       293     0    12     1    18
      1.8243124947 a       294     0    12     1    19
      3.4668462261 a       295     0    12     1    20
     -2.2014207324 a       296     0    12     1    21
     -1.7249899405 a       297     0    12     1    22
     -5.9592494456 a       298     0    12     1    23
      9.4436716821 a       299     0    12     1    24
     -3.4820787661 a       300     0    12     1    25
     -1.3728195906 a       301     0    13     1     1
     -1.3798605976 a       302     0    13     1     2
     -1.1812669954 a       303     0    13     1     3
     -2.6670448227 a       304     0    13     1     4
      0.3459235937 a       305     0    13     1     5
      9.1661240500 a       306     0    13     1     6
      1.3904421686 a       307     0    13     1     7
     -5.6680175826 a       308     0    13     1     8
      0.3039752345 a       309     0    13     1     9
     -2.3332250686 a       310     0    13     1    10
     14.6033233510 a       311     0    13     1    11
     -1.0178382770 a       312     0    13     1    12
      6.4763626184 a       313     0    13     1    13
      0.3284069971 a       314     0    13     1    14
      5.3970402788 a       315     0    13     1    15
      8.4440344591 a       316     0    13     1    16
    -14.0397237649 a       317     0    13     1    17
      3.2158489969 a       318     0    13     1    18
      3.3099920434 a       319     0    13     1    19
     -2.0718983711 a       320     0    13     1    20
     -4.4039034947 a       321     0    13     1    21
     -5.2821593279 a       322     0    13     1    22
      1.3748611373 a       323     0    13     1    23
     -1.3388747250 a       324     0    13     1    24
     -0.3573394702 a       325     0    13     1    25
     -3.1596004624 a       326     0    14     1     1
     -1.4818122213 a       327     0    14     1     2
     -1.3855214551 a       328     0    14     1     3
     -3.0783595923 a       329     0    14     1     4
      3.9114964747 a       330     0    14     1     5
      2.2127155842 a       331     0    14     1     6
     -4.6413061716 a       332     0    14     1     7
     -4.4510179891 a       333     0    14     1     8
      0.5931658156 a       334     0    14     1     9
      4.0596839953 a       335     0    14     1    10
      6.0449752549 a       336     0    14     1    11
     -3.1266169176 a       337     0    14     1    12
     -0.1693276119 a       338     0    14     1    13
      3.8264375276 a       339     0    14     1    14
     -0.2824303701 a       340     0    14     1    15
     -3.7224505169 a       341     0    14     1    16
     -5.1900721021 a       342     0    14     1    17
      1.5072373320 a       343     0    14     1    18
      8.9885945997 a       344     0    14     1    19
      2.6138568502 a       345     0    14     1    20
      0.9022096591 a       346     0    14     1    21
     -0.7117768250 a       347     0    14     1    22
     -5.3949546343 a       348     0    14     1    23
     -6.9550442833 a       349     0    14     1    24
     -0.0364217386 a       350     0    14     1    25
    -17.3681802353 a       351     0    15     1     1
      1.1617526680 a       352     0    15     1     2
     11.8630831125 a       353     0    15     1     3
     -3.7973876723 a       354     0    15     1     4
     10.7619759292 a       355     0    15     1     5
     -5.5684759406 a       356     0    15     1     6
